186	32	2	7	7	6	6	7	7	7	7	7	6	7	7	7	6	7	7	7	7	7	6	7	6	7	7	2	2	3	4	3	3	2	2	2	2	3	3	4	4	2	2	5	5	5	5	4	3.66	4	3	4	4	2	5	5	5	5	5	4	3	3	3	3	3	4	4	4	4	4	3	4	3	2	5	5	4	3	4	2	2	1	2	5	4	5	3	2	2	3	1	1	1	3	2	3	1	1	3	3	50	3	3	2	0	4	3	5	4	4
8	21	2	7	7	4	6	7	5	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	2	3	3	3	3	3	2	2	2	2	3	4	2	2	2	2	3	2	2	2	2	1	1	1	1	2	2	3	3	3	5	4	3	3	3	3	1	2	1	1	1	3	2	4	3	3	3	3	3	2	3	2	3	2	2	2	2	2	2	4	4	4	4	1	3	3	4	3	2	2	1	3	1	180	1	2	2	1	5	5	5	2	4
12	50	2	6	6	6	6	7	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	6	6	5	4	5	5	4	5	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	1	2	2	2	2	1	1	1	2	2	2	3	3	2	3	1	1	1	1	1	3	3	2	2	1	1	3	3	2	2	2	1	1	1	1	4	4	4	4	4	4	4	1	3	1	4	2	3	4	1	2	2	125	2	2	2	0	4	4	4	2	4
18	45	2	6	7	3	6	7	7	7	7	7	5	5	6	7	7	7	7	7	3	5	5	3	5	4	4	4	4	4	4	4	4	1	1	1	1	1	2	3	2	3	3	2	4	3	4	3	1	3	3	3	2	2	3	1	2	2	2	3	3	3	3	1	1	1	1	1	3	3	2	2	1	3	3	3	2	3	3	1	2	2	1	1	3	3	4	4	4	4	1	3	1	2	2	2	2	3	2	1	150	1	2	2	1	4	4	3	2	3
23	40	2	6	6	2	6	6	5	5	5	5	6	6	6	6	6	6	6	6	4	4	4	4	4	4	4	2	1	2	3	1	1	4	4	2	2	1	1	6	4	3	3	1	1	4	4	4	1	5	3	4	2	3	4	4	4	5	5	4	4	4	4	4	3	5	5	5	5	5	3	5	3	3	3	3	2	2	5	3	5	3	3	4	4	4	3	3	3	3	1	1	1	1	3	3	3	4	7	2	240	4	3	2	1	2	3	1	4	2
52	24	2	6	7	7	7	4	5	3	3	6	5	7	4	4	6	5	7	4	3	6	5	4	3	6	6	2	3	4	2	1	4	2	3	2	2	5	4	4	5	1	1	4	5	4	4	4	1	5	2	4	2	2	4	3	3	4	2	4	3	2	3	4	3	4	2	1	3	2	3	4	3	2	4	3	3	2	2	1	2	1	2	4	4	3	4	4	5	4	2	4	2	3	4	4	3	2	6	3	40	3	1	2	1	4	5	5	4	4
118	24	2	6	7	6	6	7	7	7	6	6	6	7	7	6	6	6	6	7	5	7	7	6	7	7	7	4	4	5	3	4	4	2	4	2	2	2	3	2	2	2	2	2	2	4	4	4	1	2	1	3	2	3	2	3	2	2	2	3	3	2	4	3	2	3	2	1	2	2	2	2	1	2	1	1	3	2	2	1	3	1	1	4	4	3	4	4	4	4	1	1	1	1	5	5	4	4	5	2	63	2	4	3	1	4	4	4	4	2
125	24	1	7	7	7	7	6	7	5	7	6	5	6	7	6	6	6	6	6	5	5	5	5	5	7	6	2	2	2	3	3	3	3	3	2	2	2	3	4	3	3	2	4	4	2	2	3	1	3	3	4	2	2	4	1	2	3	1	5	5	5	5	1	2	3	2	1	3	4	2	3	3	2	4	4	3	3	5	4	5	3	5	3	3	3	3	3	4	4	1	2	1	2	3	3	2	4	1	2	35	3	2	2	1	5	5	5	4	4
145	25	2	4	6	7	5	7	4	4	5	6	6	6	6	6	7	7	6	6	5	6	6	6	6	6	6	4	4	5	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	3	3	4	1	3	2	2	1	1	1	1	1	3	4	4	4	4	4	3	1	3	2	1	1	1	1	1	1	1	1	2	2	1	4	1	2	1	1	2	3	3	5	5	5	5	1	4	1	4	1	1	4	1	6	2	55	3	2	2	1	5	5	5	5	5
169	30	2	4	6	2	6	3	5	4	4	4	4	5	5	4	3	4	4	4	4	5	5	5	6	5	4	2	4	2	3	2	3	2	3	3	3	4	5	2	4	4	3	3	4	1	2	2	1	3	1	3	1	2	3	2	2	5	5	5	4	2	1	1	1	3	3	1	3	2	2	2	3	2	4	4	2	1	1	3	3	2	2	3	3	2	3	3	4	5	1	2	1	4	2	4	4	1	4	3	100	3	2	2	1	4	5	5	4	4
